MAPE,MAE,MSE,R2,Tiempo
7.885869,1.555972,3.661291,1.918189,0.113000
6.424205,1.405903,3.068406,-0.048983,0.112000
4.957753,1.052054,1.860909,0.729416,0.114000
4.571878,0.954206,1.567105,1.009309,0.114000
4.806867,1.016776,1.751886,0.827652,0.112000
4.960973,1.021667,1.746736,1.152748,0.114000
4.593248,0.978512,1.638189,0.713109,0.113000
5.324968,1.140717,2.161913,0.529160,0.111000
5.963154,1.286697,2.699724,0.291871,0.111000
4.827022,1.014017,1.738897,0.917001,0.113000
4.839305,1.044813,1.843871,0.510336,0.112000
4.718939,1.009156,1.741669,0.661005,0.114000
5.029684,1.038787,1.793681,1.083168,0.114000
5.070473,1.041107,1.808462,1.225203,0.114000
5.245418,1.070887,1.894262,1.349708,0.114000
5.599923,1.137538,2.093219,1.446600,0.113000
4.611484,0.956717,1.567294,1.097604,0.113000
5.746852,1.167583,2.184014,1.215865,0.112000
4.986142,1.042225,1.820087,0.954317,0.113000
5.427094,1.104723,1.988313,1.330647,0.114000
4.496738,0.943099,1.543189,1.004571,0.114000
5.279690,1.086430,1.942982,1.190433,0.113000
4.512589,0.953107,1.563899,0.849373,0.113000
5.285799,1.075805,1.890691,1.389370,0.112000
4.614822,0.973508,1.628454,0.914925,0.113000
5.895572,1.180954,2.202159,1.562032,0.112000
4.737781,1.010994,1.746564,0.699595,0.113000
5.078279,1.075162,1.928444,0.739841,0.111000
5.052725,1.077868,1.946010,0.643612,0.111000
5.577004,1.140794,2.128151,1.281760,0.112000
5.263523,1.137776,2.165367,0.406012,0.111000
6.397469,1.313105,2.744089,1.078391,0.110000
4.577610,0.957906,1.579006,1.012587,0.113000
5.053496,1.037828,1.782812,1.229038,0.112000
4.780020,1.020036,1.773706,0.732354,0.112000
4.709804,0.985851,1.644626,0.938429,0.113000
4.691387,0.995934,1.692857,0.824242,0.113000
4.453368,0.934461,1.519026,0.955355,0.113000
5.389521,1.094403,1.953358,1.387162,0.113000
5.075026,1.041537,1.798240,1.244171,0.112000
4.745455,1.008533,1.729395,0.778367,0.114000
4.727056,0.983520,1.636404,1.006801,0.113000
4.717348,1.006245,1.733260,0.727363,0.114000
4.591933,0.978256,1.644932,0.733760,0.113000
4.912808,1.057732,1.884452,0.487851,0.126000
5.029371,1.088894,1.988833,0.438353,0.112000
4.892478,1.018823,1.749283,1.031165,0.113000
4.851019,1.000329,1.695675,1.278590,0.114000
5.142159,1.111035,2.066121,0.455271,0.114000
5.328970,1.139326,2.151893,0.586545,0.112000
4.674421,0.973055,1.612772,1.048690,0.114000
4.707889,1.007316,1.727445,0.689084,0.113000
4.736863,0.985015,1.649543,1.078724,0.115000
4.583467,0.962558,1.590202,0.949717,0.113000
6.246048,1.251023,2.415215,1.656488,0.112000
5.832394,1.179743,2.219132,1.558110,0.113000
4.674041,0.978167,1.631744,0.967971,0.114000
4.861911,1.005668,1.704482,1.157816,0.113000
4.546463,0.965533,1.610251,0.815256,0.113000
5.226836,1.087136,1.950819,0.940350,0.114000
5.997485,1.211289,2.334966,1.532136,0.112000
5.227006,1.106577,2.025772,0.659268,0.113000
4.533628,0.947054,1.550205,1.049620,0.113000
5.329926,1.089988,1.950292,1.364005,0.113000
4.713566,0.977624,1.624900,1.051932,0.113000
5.082063,1.095757,2.018759,0.518212,0.114000
5.955013,1.295716,2.745773,0.222062,0.111000
4.850128,1.032678,1.806250,0.769657,0.114000
7.773138,1.542925,3.436350,2.016860,0.113000
4.776341,1.016066,1.753324,0.780210,0.113000
5.578998,1.205036,2.414046,0.415714,0.113000
4.630881,0.968994,1.597022,0.934883,0.113000
5.362296,1.103939,1.990608,1.163409,0.111000
5.229420,1.064127,1.860662,1.263286,0.113000
4.738587,1.005027,1.721988,0.800567,0.113000
4.958019,1.075376,1.960414,0.445561,0.114000
4.982782,1.061034,1.886851,0.664068,0.113000
4.500567,0.944368,1.545588,0.985524,0.114000
5.298208,1.096237,1.975351,1.090165,0.112000
4.895089,1.055343,1.885746,0.546895,0.113000
5.006105,1.073269,1.932215,0.560178,0.113000
5.966923,1.202241,2.300047,1.472838,0.113000
4.700027,0.988892,1.662708,0.884716,0.113000
4.841345,1.031636,1.795173,0.696295,0.114000
5.307765,1.133392,2.133425,0.605686,0.113000
4.814112,0.995090,1.673806,1.152192,0.113000
7.655720,1.521107,3.538459,1.756035,0.112000
4.879656,1.025047,1.779255,0.850427,0.113000
5.184250,1.110668,2.062342,0.600118,0.113000
4.875730,1.034399,1.804245,0.673391,0.113000
9.131813,1.799591,4.684021,2.177958,0.111000
7.675689,1.529426,3.462973,1.965551,0.112000
4.939122,1.047413,1.840034,0.745757,0.112000
5.470851,1.165978,2.247188,0.632151,0.113000
6.542942,1.308547,2.632932,1.707781,0.112000
5.321394,1.134439,2.131527,0.578718,0.114000
4.621238,0.992522,1.695399,0.649136,0.113000
5.377260,1.093762,1.963843,1.389596,0.112000
5.533261,1.124531,2.049440,1.386548,0.112000
4.748978,1.005092,1.723161,0.908470,0.114000
5.124624,1.055204,1.859411,1.216073,0.113000
4.950157,1.019680,1.734700,1.158221,0.114000
4.660605,0.995433,1.705969,0.771564,0.114000
5.196324,1.063879,1.863602,1.211415,0.113000
4.641390,0.971277,1.613231,1.005459,0.114000
4.702054,0.981369,1.639923,1.010085,0.113000
6.015537,1.294981,2.750750,0.376830,0.123000
4.904598,1.056119,1.892026,0.560491,0.113000
4.879825,1.008694,1.714092,1.140740,0.114000
5.480222,1.113947,2.008466,1.451385,0.112000
4.961889,1.036138,1.798640,1.031784,0.113000
5.712726,1.156572,2.143980,1.529052,0.114000
4.674442,1.002214,1.727662,0.648999,0.113000
6.343476,1.379934,2.973726,0.004163,0.112000
5.488953,1.185366,2.319507,0.362307,0.112000
5.179406,1.052782,1.821252,1.328001,0.113000
4.507779,0.953626,1.568595,0.860070,0.113000
6.473632,1.302137,2.685887,1.375904,0.112000
4.726501,1.005897,1.733226,0.808155,0.113000
5.368287,1.103193,2.000700,1.194430,0.113000
4.976810,1.065163,1.922250,0.622814,0.112000
4.734205,0.990279,1.670855,0.991963,0.114000
8.983722,1.783855,4.381159,2.260680,0.112000
4.773303,1.012373,1.740412,0.799371,0.113000
8.099569,1.603364,3.717915,2.061012,0.112000
4.435866,0.937832,1.536892,0.908214,0.114000
4.773931,0.992701,1.664076,1.008502,0.114000
5.148056,1.054815,1.848102,1.043149,0.112000
6.104151,1.231368,2.389011,1.615739,0.113000
5.046704,1.080813,1.958734,0.590027,0.113000
4.682136,0.976918,1.633575,1.021130,0.113000
5.049265,1.054215,1.852475,0.947416,0.112000
5.364887,1.166400,2.234340,0.314666,0.113000
4.916356,1.008652,1.707911,1.303273,0.113000
5.836151,1.259013,2.592696,0.353258,0.114000
6.122771,1.241328,2.413193,1.666911,0.113000
5.025680,1.031538,1.769809,1.192099,0.112000
4.994329,1.053530,1.863710,0.898893,0.112000
5.417465,1.101222,1.978199,1.370145,0.114000
5.187237,1.102775,2.019404,0.727033,0.113000
4.588790,0.973686,1.631337,0.794444,0.114000
4.770580,1.014196,1.746472,0.724734,0.114000
4.593506,0.974611,1.632091,0.764187,0.113000
5.228406,1.122522,2.092544,0.548407,0.113000
4.625872,0.967021,1.599131,0.996718,0.116000
4.718141,1.004639,1.715724,0.747537,0.117000
5.201751,1.071659,1.896741,1.114115,0.112000
5.591573,1.131668,2.062682,1.496324,0.114000
4.921786,1.056559,1.881273,0.583071,0.113000
4.443506,0.944112,1.546925,0.808987,0.113000
5.422714,1.101954,1.967948,1.494129,0.114000
4.837760,1.003326,1.702395,1.116459,0.114000
5.344597,1.085988,1.924439,1.386912,0.113000
5.399791,1.104426,2.010741,1.364525,0.111000
4.600220,0.960780,1.580816,1.011893,0.113000
4.475479,0.941369,1.540529,0.972714,0.114000
4.594453,0.960970,1.590971,1.022465,0.113000
4.922868,1.026079,1.774510,1.080109,0.112000
6.816436,1.356101,2.778561,1.794614,0.112000
4.798660,1.004632,1.712689,0.973345,0.114000
4.987030,1.034622,1.802675,1.167469,0.113000
5.368006,1.108880,2.018496,0.985738,0.112000
4.585588,0.980296,1.656273,0.692700,0.113000
5.186037,1.117926,2.083649,0.464138,0.112000
5.044226,1.063113,1.893349,0.901206,0.115000
5.773717,1.167946,2.192045,1.458715,0.113000
5.115307,1.066582,1.892849,0.991826,0.113000
4.620767,0.981913,1.660927,0.802081,0.114000
5.284786,1.100097,1.989831,0.923326,0.113000
4.885858,1.007415,1.702947,1.169476,0.114000
5.400123,1.138336,2.142040,0.658118,0.112000
4.743607,1.019259,1.778557,0.620743,0.114000
4.727830,0.981194,1.636879,1.065166,0.114000
8.184122,1.637493,4.098964,1.763879,0.110000
5.130200,1.046897,1.813539,1.376901,0.113000
4.727451,0.999456,1.700774,0.851583,0.113000
5.347273,1.105235,1.993346,0.985276,0.114000
4.517850,0.944702,1.539922,1.004997,0.113000
4.634017,0.985201,1.664032,0.788266,0.112000
4.833697,0.992916,1.662929,1.243815,0.113000
5.831382,1.266031,2.594527,0.246996,0.113000
5.455417,1.119570,2.042209,1.164914,0.112000
5.975750,1.205424,2.324530,1.557560,0.113000
5.955828,1.235544,2.444847,0.882755,0.110000
4.751856,1.009807,1.734314,0.683432,0.113000
5.052320,1.038496,1.798515,1.166044,0.113000
4.734584,1.014891,1.761887,0.649897,0.113000
4.754890,1.016529,1.753799,0.650944,0.113000
4.862253,1.001975,1.696486,1.249651,0.113000
5.165397,1.061656,1.866999,1.209427,0.114000
4.989909,1.072255,1.932075,0.547528,0.112000
4.628405,0.992377,1.696303,0.659537,0.115000
5.038548,1.078669,1.945750,0.628323,0.114000
5.270369,1.087337,1.951161,1.123806,0.112000
4.729280,1.012500,1.766794,0.718304,0.113000
5.618504,1.220799,2.446903,0.291946,0.113000
4.963788,1.051565,1.860386,0.803819,0.113000
5.206528,1.130618,2.114231,0.317013,0.113000
5.428300,1.176131,2.289096,0.336075,0.113000
4.656175,0.968120,1.603668,1.084658,0.113000
4.881998,1.017381,1.737226,0.995772,0.114000
5.693790,1.169017,2.216483,1.225232,0.113000
4.872761,1.018703,1.754010,0.901485,0.117000
5.322635,1.093674,1.973716,1.239657,0.114000
4.543760,0.958816,1.590730,0.872832,0.112000
9.085943,1.794504,4.514247,2.255369,0.112000
7.164699,1.441841,3.252866,1.308988,0.112000
5.460900,1.119498,2.048668,1.165920,0.112000
5.235155,1.069641,1.880287,1.377933,0.114000
4.618745,0.965617,1.597045,1.009667,0.113000
6.122977,1.230411,2.371098,1.619548,0.114000
7.225965,1.451458,3.230026,1.824714,0.112000
4.735289,0.992571,1.671262,0.917367,0.114000
4.737630,1.012313,1.746739,0.638045,0.116000
5.247615,1.090016,1.965055,1.074955,0.112000
5.042649,1.080176,1.949034,0.577637,0.116000
4.550856,0.955943,1.577950,0.955647,0.114000
4.960209,1.070267,1.924753,0.478500,0.113000
4.808883,0.994737,1.667210,1.104798,0.114000
4.798170,1.036847,1.831037,0.508362,0.114000
4.841822,1.016986,1.741833,0.867844,0.113000
4.924585,1.018742,1.738298,1.101082,0.113000
7.954762,1.587829,3.900605,1.601589,0.111000
4.603082,0.971542,1.621360,0.915021,0.112000
4.693059,1.005940,1.733841,0.652905,0.113000
6.358520,1.333189,2.856102,0.883136,0.110000
5.033142,1.044913,1.826035,1.017975,0.113000
5.094826,1.087536,1.983075,0.618487,0.113000
5.155958,1.052673,1.824563,1.349421,0.114000
4.856635,1.006620,1.709262,1.077320,0.113000
4.682293,0.972604,1.613413,1.092038,0.113000
6.635027,1.329996,2.705119,1.733476,0.113000
4.940936,1.027878,1.772196,1.003619,0.112000
5.033550,1.078466,1.961370,0.522552,0.113000
4.587532,0.981898,1.651899,0.676738,0.113000
4.517679,0.953515,1.572479,0.928922,0.113000
5.866991,1.183877,2.251577,1.486524,0.114000
4.918722,1.010411,1.720011,1.225765,0.114000
4.992899,1.059567,1.897345,0.825589,0.112000
5.822085,1.177694,2.239301,1.431573,0.112000
5.143175,1.089022,1.977663,0.696569,0.114000
4.832943,1.004478,1.709076,1.107386,0.114000
5.014269,1.052619,1.840527,0.811627,0.112000
4.824738,1.020360,1.761672,0.813229,0.114000
4.810507,0.996057,1.675799,1.148978,0.114000
4.700856,0.979656,1.638176,1.028757,0.114000
4.694790,0.996154,1.696940,0.748733,0.112000
