MAPE,MAE,MSE,R2,Tiempo
8.223276,1.624423,3.962254,1.984279,0.112000
4.632571,0.987996,1.674602,0.751974,0.114000
4.853589,1.009605,1.711745,0.982677,0.113000
5.303543,1.147195,2.173604,0.349060,0.113000
4.689796,0.990474,1.676201,0.852137,0.113000
4.711633,1.015280,1.763500,0.548582,0.113000
4.937275,1.054471,1.871500,0.632498,0.113000
4.924913,1.018408,1.738383,1.135462,0.118000
4.802302,1.028778,1.813246,0.627004,0.114000
5.871835,1.180736,2.200156,1.548977,0.113000
7.324415,1.464435,3.249483,1.869867,0.113000
5.042484,1.081391,1.954920,0.565354,0.115000
4.769857,0.997147,1.694235,1.002268,0.114000
5.608446,1.140673,2.114661,1.309820,0.113000
5.393039,1.137627,2.132536,0.775674,0.112000
4.806773,1.012810,1.721611,0.810765,0.113000
4.921702,1.019026,1.748018,1.070425,0.113000
5.495962,1.176197,2.278789,0.542350,0.112000
5.170934,1.072134,1.910595,1.022986,0.114000
5.698783,1.207291,2.379067,0.666978,0.111000
4.789083,1.006783,1.710709,0.843618,0.113000
5.174089,1.067637,1.892681,1.268461,0.112000
6.385431,1.280058,2.568250,1.634532,0.113000
6.138724,1.308851,2.771904,0.525848,0.111000
4.849073,1.011650,1.725420,1.019001,0.112000
4.734730,0.984172,1.648916,1.077155,0.114000
4.760918,1.009870,1.732686,0.828790,0.115000
4.912610,1.037163,1.813247,0.799684,0.114000
4.657187,0.974543,1.626853,1.025230,0.115000
4.564884,0.980941,1.659929,0.643958,0.115000
5.779565,1.171144,2.213168,1.344343,0.113000
9.769902,1.914587,5.409188,2.165051,0.123000
4.703539,1.003832,1.724555,0.695940,0.114000
4.743290,1.018547,1.773859,0.567832,0.114000
4.891920,1.006376,1.707188,1.241492,0.113000
5.266536,1.081538,1.929278,1.176487,0.111000
4.980172,1.031107,1.773923,1.091646,0.114000
4.992023,1.019106,1.739146,1.287561,0.114000
4.638471,0.969550,1.606874,0.995047,0.115000
5.160334,1.089511,1.962620,0.688341,0.114000
4.591595,0.969773,1.615442,0.864053,0.115000
5.128270,1.058464,1.869789,1.172089,0.114000
4.942862,1.022156,1.756020,1.149324,0.115000
4.931201,1.038827,1.806399,0.868881,0.114000
5.037752,1.055225,1.870156,0.954536,0.113000
4.828644,1.022730,1.778542,0.818316,0.113000
4.893188,1.017530,1.742181,1.047916,0.113000
4.808794,1.003298,1.710664,0.997496,0.113000
5.502735,1.116331,2.013816,1.431690,0.113000
4.778416,1.003319,1.701567,0.919699,0.113000
5.051094,1.085056,1.980344,0.603083,0.113000
5.073927,1.039823,1.801337,1.371497,0.114000
4.816233,1.025535,1.783390,0.737323,0.113000
5.244221,1.070725,1.897193,1.319593,0.114000
5.623534,1.214321,2.459224,0.379591,0.111000
6.191983,1.279059,2.624044,1.079631,0.111000
5.041272,1.047795,1.835327,1.069927,0.113000
4.513011,0.962435,1.608791,0.741508,0.113000
4.788601,0.991007,1.667188,1.143141,0.113000
4.910383,1.011932,1.722250,1.201589,0.114000
5.397302,1.152784,2.184824,0.573516,0.112000
8.300536,1.641780,3.907935,2.067394,0.111000
4.767201,0.993044,1.671002,1.023050,0.114000
4.768327,0.995033,1.684141,0.992953,0.113000
6.076465,1.225396,2.379831,1.600136,0.113000
4.874484,1.028330,1.785773,0.862249,0.112000
5.904440,1.184581,2.220417,1.570330,0.114000
4.776956,0.994790,1.673680,1.032383,0.114000
4.720387,0.990809,1.665804,0.884391,0.113000
4.622369,0.962568,1.590432,1.072634,0.114000
4.992996,1.029142,1.769195,1.196204,0.113000
4.817798,0.994529,1.675599,1.222975,0.115000
6.010224,1.204913,2.320339,1.469628,0.115000
4.518274,0.954634,1.569996,0.894879,0.115000
5.506205,1.149587,2.170735,0.907390,0.112000
5.726596,1.165415,2.194154,1.359278,0.113000
5.035567,1.036171,1.786763,1.155256,0.113000
6.280839,1.259341,2.451167,1.687256,0.114000
4.944336,1.055452,1.887687,0.687461,0.112000
7.525257,1.488354,3.317643,1.882352,0.111000
4.683615,1.009182,1.750159,0.593746,0.113000
4.728361,0.992787,1.672937,0.931105,0.114000
5.542177,1.202819,2.375476,0.302685,0.113000
5.355242,1.130069,2.104260,0.725545,0.114000
5.603775,1.220408,2.429621,0.209743,0.112000
4.718156,0.995596,1.683508,0.862656,0.113000
5.524713,1.196626,2.337495,0.409216,0.112000
5.095734,1.045089,1.808692,1.242867,0.114000
4.793010,1.005747,1.706552,0.924491,0.115000
4.675844,0.985811,1.659489,0.858672,0.113000
4.785949,1.028037,1.796386,0.600204,0.114000
4.713385,0.981442,1.645609,1.061936,0.114000
4.638776,0.977484,1.631296,0.882929,0.113000
6.139697,1.240432,2.445613,1.418026,0.112000
6.267144,1.261817,2.519294,1.558316,0.112000
4.536257,0.966268,1.609815,0.765106,0.113000
4.577828,0.985892,1.675719,0.588544,0.113000
5.135891,1.058598,1.854319,1.111830,0.113000
5.130617,1.064847,1.879138,1.067965,0.114000
5.050911,1.058194,1.860538,0.912684,0.114000
5.001475,1.050009,1.843916,0.955126,0.113000
5.554246,1.195524,2.348721,0.433670,0.114000
4.745999,1.004394,1.722776,0.778260,0.114000
4.686425,0.977894,1.623411,0.978769,0.113000
4.672912,0.984534,1.657632,0.873338,0.113000
5.895929,1.279517,2.646977,0.231714,0.112000
5.420071,1.099735,1.976936,1.412495,0.112000
5.043876,1.087329,1.976999,0.495433,0.111000
5.341761,1.086788,1.939087,1.347030,0.112000
4.648723,0.986120,1.666303,0.788258,0.113000
4.763089,1.011801,1.738689,0.729128,0.113000
5.474917,1.188412,2.308355,0.269661,0.112000
4.638981,0.979064,1.641930,0.903519,0.113000
5.047513,1.059290,1.871040,0.839307,0.113000
5.451796,1.112000,2.014165,1.291098,0.113000
4.808807,1.014695,1.743155,0.909724,0.113000
4.494495,0.946520,1.556417,0.954409,0.114000
6.463004,1.314027,2.736197,1.339041,0.111000
4.831238,1.006428,1.717327,1.067061,0.114000
5.106210,1.058557,1.863855,1.173320,0.114000
4.824730,0.999406,1.688631,1.107815,0.115000
6.014236,1.214707,2.360612,1.449938,0.112000
4.777797,0.988092,1.655633,1.154220,0.112000
5.758454,1.185747,2.272418,1.053345,0.112000
4.649055,0.967709,1.611347,1.139003,0.114000
5.462345,1.186796,2.311391,0.274775,0.113000
6.502426,1.305341,2.661134,1.661282,0.112000
5.456965,1.121093,2.051333,1.089436,0.112000
4.977055,1.067256,1.938063,0.607809,0.117000
5.318823,1.081412,1.908156,1.439605,0.114000
4.694061,0.996593,1.700998,0.798599,0.115000
6.064993,1.219024,2.317549,1.652174,0.112000
4.691479,0.971595,1.604474,1.115587,0.113000
4.960883,1.046492,1.835230,0.789936,0.114000
5.866133,1.187174,2.258299,1.475642,0.114000
4.502067,0.963691,1.607847,0.697300,0.116000
4.797925,1.031115,1.812661,0.586298,0.118000
5.067123,1.042486,1.808340,1.158993,0.113000
5.413670,1.118725,2.042236,1.047228,0.113000
6.862276,1.391594,3.063061,1.312454,0.111000
5.074292,1.074390,1.935032,0.850562,0.114000
6.440827,1.355578,2.950778,0.687863,0.111000
5.603702,1.131937,2.060029,1.511364,0.113000
4.828460,1.030906,1.799575,0.655108,0.113000
4.880284,1.037323,1.819362,0.842588,0.113000
5.946264,1.226285,2.416864,0.981071,0.112000
6.066949,1.217382,2.338065,1.573881,0.112000
5.162022,1.089789,1.985289,0.816160,0.114000
6.157611,1.237195,2.428188,1.569261,0.112000
5.221336,1.065409,1.869450,1.358112,0.114000
5.027098,1.051774,1.834141,0.873544,0.112000
5.787934,1.190230,2.297327,1.089767,0.112000
5.367745,1.169090,2.253071,0.267086,0.114000
5.052363,1.069051,1.905906,0.816469,0.114000
5.682103,1.155470,2.155388,1.304843,0.114000
4.679816,0.971071,1.611569,1.124041,0.114000
4.745961,1.014702,1.759055,0.708771,0.114000
5.508746,1.201064,2.373654,0.250733,0.113000
4.698258,0.972933,1.609232,1.085332,0.114000
5.240036,1.067413,1.872965,1.405713,0.114000
4.834777,1.010436,1.713315,0.931262,0.113000
5.296711,1.139386,2.131582,0.397981,0.115000
5.718974,1.156447,2.134472,1.501914,0.113000
5.353303,1.112724,2.027040,0.960364,0.113000
5.134942,1.094429,1.990626,0.723825,0.114000
4.711507,0.994952,1.688282,0.845199,0.113000
5.367246,1.142680,2.165608,0.586515,0.112000
8.051183,1.595748,3.948418,1.817582,0.112000
5.283608,1.074612,1.881213,1.396486,0.114000
4.455994,0.940556,1.534080,0.906986,0.114000
4.939039,1.026034,1.762160,1.031425,0.114000
8.222865,1.644400,3.949054,2.080214,0.111000
5.217409,1.081268,1.934705,1.120877,0.113000
5.808610,1.191011,2.294909,1.119298,0.112000
5.012697,1.060191,1.886611,0.847061,0.112000
4.790355,1.028914,1.802360,0.590292,0.115000
4.565628,0.962079,1.600839,0.972181,0.114000
4.845438,1.031655,1.808166,0.758062,0.113000
5.307090,1.093582,1.974259,1.179899,0.113000
4.542420,0.951206,1.558635,0.963719,0.114000
5.469883,1.112592,2.020067,1.248373,0.113000
4.846652,1.005421,1.710808,1.137580,0.114000
4.707485,0.997380,1.693243,0.814846,0.113000
6.602293,1.322336,2.737707,1.619091,0.111000
5.149912,1.058417,1.861947,1.252559,0.118000
4.554582,0.959306,1.588213,0.951027,0.114000
5.458512,1.182670,2.299153,0.327673,0.113000
5.520487,1.128882,2.076237,1.217026,0.115000
4.784040,1.030759,1.811689,0.572442,0.113000
5.110872,1.046498,1.822563,1.353006,0.114000
4.906135,1.019456,1.755914,1.056282,0.114000
4.985839,1.040244,1.803745,0.988819,0.112000
4.778892,1.008733,1.719034,0.843089,0.113000
5.004596,1.067305,1.908600,0.617845,0.114000
5.853153,1.272180,2.562597,0.107986,0.127000
5.025062,1.062313,1.885510,0.794567,0.114000
6.361889,1.270102,2.500747,1.672935,0.113000
4.582532,0.974513,1.636499,0.764499,0.115000
5.741941,1.162292,2.168768,1.486279,0.112000
4.926958,1.045376,1.840271,0.707788,0.112000
4.843737,1.040029,1.827893,0.583074,0.113000
5.501857,1.116845,2.017882,1.476004,0.113000
4.925235,1.059981,1.882715,0.560440,0.117000
4.788474,1.021391,1.771395,0.698850,0.114000
4.600731,0.969627,1.612347,0.901971,0.123000
7.671003,1.525187,3.430888,1.944753,0.112000
5.025784,1.075141,1.935792,0.654121,0.113000
4.891946,1.026382,1.772794,0.938975,0.114000
4.865557,1.019862,1.758706,0.969276,0.114000
5.346691,1.156216,2.230136,0.415904,0.113000
4.850866,1.026875,1.776641,0.787495,0.113000
6.173899,1.248199,2.487809,1.480692,0.114000
5.169532,1.054874,1.837587,1.340560,0.114000
5.407758,1.153359,2.197539,0.553560,0.111000
4.632765,0.991280,1.691025,0.689320,0.114000
5.005363,1.026992,1.759923,1.265858,0.115000
5.850202,1.177226,2.190374,1.571015,0.113000
5.706688,1.158668,2.164617,1.449532,0.114000
4.894338,1.036366,1.806776,0.713893,0.113000
4.544039,0.959637,1.592606,0.909333,0.115000
4.559722,0.955864,1.572344,0.985480,0.113000
5.167432,1.080084,1.945792,1.052168,0.111000
5.492597,1.115137,2.014897,1.408437,0.114000
5.578650,1.144610,2.130298,1.153069,0.112000
4.554606,0.958276,1.581656,0.936644,0.113000
4.603392,0.963188,1.596939,1.052535,0.114000
4.685427,0.974990,1.626269,1.098677,0.113000
5.789445,1.177964,2.226559,1.465430,0.114000
7.650080,1.520414,3.512227,1.829084,0.111000
5.315904,1.087100,1.941615,1.358020,0.114000
4.991680,1.070902,1.932184,0.578457,0.114000
5.800323,1.179683,2.229778,1.532253,0.113000
5.144624,1.076591,1.919001,0.884488,0.113000
6.155072,1.331962,2.888883,0.258968,0.111000
6.122576,1.236630,2.411274,1.625469,0.112000
5.056859,1.049776,1.822538,0.972865,0.113000
5.770593,1.198715,2.323063,0.958744,0.112000
5.449959,1.111854,2.017185,1.362944,0.114000
4.522965,0.952059,1.571110,0.972329,0.115000
4.816856,1.028348,1.791597,0.643663,0.113000
5.502352,1.120057,2.042991,1.396694,0.112000
5.126587,1.087273,1.980544,0.681856,0.113000
4.705059,0.976744,1.634021,1.087575,0.113000
5.150216,1.096639,1.998047,0.598651,0.112000
5.003133,1.025955,1.760287,1.222341,0.113000
5.095789,1.057226,1.860986,1.097753,0.113000
5.545645,1.146595,2.156293,1.205899,0.112000
4.956341,1.023932,1.754943,1.129655,0.114000
5.541292,1.155041,2.176512,0.997809,0.112000
6.697107,1.349153,2.832755,1.666489,0.110000
5.847913,1.182022,2.238166,1.537493,0.114000
5.295353,1.130455,2.128281,0.554772,0.112000
4.638159,0.973971,1.625818,0.938517,0.113000
4.776166,0.988016,1.651862,1.079885,0.114000
5.250180,1.074554,1.902170,1.235930,0.113000
4.803532,0.992877,1.665330,1.126906,0.114000
5.258134,1.093962,1.984503,0.967488,0.113000
5.257340,1.094676,1.972304,0.970442,0.111000
5.153969,1.062338,1.877731,1.187434,0.113000
5.223431,1.113209,2.057284,0.543765,0.112000
4.490026,0.950050,1.566844,0.886037,0.114000
4.842406,1.047244,1.854896,0.524721,0.113000
6.104189,1.237057,2.455468,1.414348,0.113000
5.364524,1.104326,2.017615,1.184821,0.112000
4.984974,1.076646,1.948342,0.428473,0.113000
6.001105,1.214536,2.360418,1.456603,0.113000
4.599517,0.958803,1.574936,1.019332,0.113000
5.205790,1.110175,2.055112,0.688736,0.111000
4.610509,0.961859,1.598026,1.099323,0.113000
4.967138,1.067068,1.916753,0.519409,0.114000
4.725129,0.992450,1.674936,0.934509,0.114000
5.470686,1.112980,2.003616,1.342359,0.124000
5.304515,1.152337,2.205520,0.374195,0.112000
4.900923,1.020104,1.756314,1.027660,0.114000
7.747319,1.552306,3.746501,1.565901,0.111000
4.572100,0.958597,1.584966,0.994315,0.113000
6.420322,1.290875,2.639103,1.458797,0.113000
5.621366,1.139162,2.114268,1.388114,0.112000
6.042840,1.219658,2.324640,1.628497,0.113000
5.422145,1.166538,2.237813,0.445129,0.114000
6.534479,1.325732,2.751265,1.661948,0.112000
5.127723,1.078097,1.936805,0.892685,0.113000
5.112570,1.105028,2.025079,0.361199,0.114000
5.053584,1.072215,1.922911,0.700995,0.112000
6.500877,1.303877,2.666601,1.473306,0.113000
4.570266,0.955590,1.573178,1.037715,0.113000
4.621523,0.975301,1.630648,0.875174,0.114000
4.799463,1.008416,1.727801,0.979222,0.113000
4.954235,1.037086,1.805044,0.966059,0.113000
4.513299,0.963007,1.593525,0.740409,0.114000
5.244519,1.077601,1.917509,1.235912,0.112000
4.649161,0.970396,1.607372,1.015576,0.114000
4.969189,1.064488,1.901242,0.654172,0.113000
5.115421,1.047998,1.817723,1.270070,0.114000
4.872447,1.012539,1.723786,0.984759,0.114000
4.985230,1.039657,1.801118,0.944965,0.114000
5.117145,1.112694,2.084684,0.374222,0.111000
4.742196,1.001787,1.705502,0.854068,0.113000
5.866694,1.186066,2.250237,1.292379,0.113000
5.333884,1.087623,1.941043,1.338738,0.114000
5.162542,1.078259,1.925461,0.970817,0.113000
4.644672,0.971573,1.610156,0.955603,0.114000
4.426307,0.943503,1.549678,0.766004,0.113000
5.474418,1.181505,2.293748,0.321138,0.114000
4.434236,0.941590,1.546247,0.830873,0.114000
5.229894,1.126191,2.100991,0.386706,0.113000
4.775250,1.026412,1.789451,0.565573,0.113000
4.773974,1.011837,1.732941,0.773020,0.113000
4.849204,1.015500,1.739626,0.940252,0.113000
4.761714,0.985366,1.653600,1.154648,0.113000
4.923080,1.027900,1.778485,1.016357,0.114000
4.569132,0.974237,1.632653,0.727348,0.115000
4.762616,0.993688,1.669849,0.964341,0.114000
4.866120,1.029904,1.783663,0.775861,0.113000
4.630308,0.970182,1.615520,0.989411,0.113000
6.396844,1.280289,2.535647,1.646512,0.113000
4.521645,0.965208,1.614317,0.743340,0.113000
5.473905,1.120340,2.060770,1.331036,0.112000
5.142672,1.091186,1.983078,0.686565,0.111000
7.061576,1.411879,3.102479,1.662996,0.112000
5.007614,1.058980,1.879844,0.820747,0.114000
5.227726,1.134964,2.141179,0.425108,0.113000
5.874266,1.270207,2.591645,0.202387,0.113000
5.380923,1.090279,1.931100,1.424539,0.112000
5.730267,1.244122,2.510104,0.203498,0.112000
4.492794,0.962245,1.600183,0.694600,0.114000
5.468886,1.117999,2.043620,1.326351,0.114000
4.713634,1.008396,1.733280,0.636896,0.114000
5.108808,1.047067,1.821950,1.254143,0.113000
4.964271,1.026201,1.763851,1.145096,0.114000
5.311528,1.087139,1.946407,1.306151,0.113000
4.701965,0.982467,1.640007,0.980389,0.114000
4.586423,0.962866,1.594794,0.962879,0.114000
5.980227,1.204706,2.307556,1.535960,0.112000
4.855817,1.046460,1.853070,0.515606,0.113000
6.422033,1.385832,3.080606,0.348810,0.111000
4.663353,0.988639,1.672820,0.793151,0.113000
4.698193,0.982071,1.641248,0.980478,0.114000
4.867884,1.020834,1.757943,0.979859,0.114000
5.075140,1.054581,1.847332,1.007018,0.113000
4.898921,1.046706,1.858817,0.665708,0.114000
5.305998,1.103146,2.008508,0.992156,0.113000
4.594583,0.972835,1.623167,0.810826,0.114000
4.565961,0.979326,1.651233,0.646311,0.113000
5.558624,1.207538,2.356348,0.241172,0.113000
4.947203,1.069550,1.925751,0.437938,0.113000
4.940994,1.043174,1.826523,0.793355,0.113000
4.644896,0.998768,1.711121,0.631173,0.113000
6.502775,1.309246,2.703742,1.583217,0.112000
5.922547,1.267812,2.611898,0.476377,0.111000
4.888181,1.055741,1.886944,0.527487,0.114000
6.204737,1.251284,2.498215,1.396223,0.113000
5.116105,1.063071,1.875888,0.988451,0.126000
7.197204,1.441561,3.152215,1.842338,0.112000
5.544182,1.172491,2.250340,0.705918,0.112000
8.531114,1.689002,4.171204,2.060637,0.111000
5.283284,1.080762,1.932157,1.265045,0.114000
6.807796,1.478801,3.396114,-0.074756,0.112000
7.117857,1.417660,3.047066,1.767339,0.112000
4.551778,0.971464,1.630984,0.744246,0.114000
4.937403,1.058728,1.889608,0.608172,0.113000
4.696061,1.006460,1.726830,0.629996,0.115000
4.783225,0.993549,1.677453,1.134626,0.114000
6.001579,1.292414,2.710691,0.336345,0.112000
4.526550,0.956766,1.583539,0.879390,0.114000
5.189763,1.101455,2.014916,0.615670,0.113000
4.856600,0.995924,1.667923,1.233418,0.113000
4.716406,0.996136,1.689487,0.873158,0.113000
4.865112,1.026381,1.773239,0.787514,0.114000
5.819712,1.267398,2.631754,0.212253,0.113000
5.445733,1.114878,2.028973,1.192962,0.113000
4.568101,0.959434,1.586533,0.910322,0.113000
6.805653,1.361737,2.772438,1.834266,0.113000
4.764282,1.000003,1.691831,0.908625,0.113000
5.195707,1.060012,1.861212,1.356943,0.113000
5.068390,1.081067,1.958345,0.661489,0.113000
4.882935,1.024653,1.762257,0.865407,0.113000
4.902891,1.032651,1.797672,0.876877,0.112000
4.622622,0.994761,1.703710,0.623651,0.113000
5.123298,1.062699,1.883754,1.068076,0.112000
5.274305,1.076807,1.914626,1.371807,0.113000
5.205811,1.061984,1.860283,1.324666,0.113000
5.228984,1.086755,1.953276,1.019841,0.112000
6.098255,1.231037,2.362761,1.591681,0.114000
4.639347,0.970979,1.616816,0.984864,0.114000
4.868824,1.022988,1.767761,0.930695,0.112000
4.613589,0.968347,1.607955,0.937817,0.114000
4.740856,1.003452,1.716656,0.838245,0.113000
4.611811,0.976013,1.634445,0.817930,0.114000
4.527356,0.954255,1.572249,0.901159,0.113000
5.264072,1.097966,1.993952,0.971405,0.112000
5.291252,1.115211,2.053231,0.793667,0.112000
5.075661,1.040399,1.798028,1.217262,0.113000
5.534938,1.119723,2.026787,1.422609,0.114000
4.693788,0.979377,1.642640,1.003050,0.113000
5.081863,1.039874,1.797122,1.290053,0.114000
5.413281,1.109602,2.019805,1.162439,0.113000
4.784269,0.988367,1.650432,1.167224,0.114000
4.530282,0.953044,1.564100,0.898850,0.113000
4.513194,0.954776,1.580301,0.855922,0.114000
5.460129,1.184490,2.284164,0.268537,0.114000
6.570707,1.317446,2.726887,1.632854,0.113000
4.936349,1.036390,1.799653,0.888522,0.113000
6.186378,1.348305,2.863258,0.046479,0.114000
5.206452,1.085972,1.955294,1.019231,0.114000
5.439168,1.106206,2.001269,1.445864,0.114000
4.900979,1.059387,1.910531,0.502356,0.113000
4.528243,0.964965,1.607546,0.770572,0.113000
4.702701,1.003070,1.722475,0.694547,0.113000
5.373585,1.094722,1.957725,1.366160,0.116000
7.129700,1.421383,2.983105,1.873311,0.112000
5.184222,1.119926,2.093054,0.486322,0.113000
4.691859,0.976641,1.623395,1.057188,0.114000
5.168799,1.118844,2.091622,0.420148,0.112000
6.518044,1.417665,3.135161,-0.044474,0.111000
4.738703,0.991675,1.666792,0.947796,0.112000
4.828201,1.038961,1.823712,0.553471,0.114000
4.831139,1.033248,1.808730,0.675227,0.113000
4.543833,0.967684,1.616582,0.760148,0.114000
4.765104,0.999623,1.688602,0.920589,0.114000
4.702237,1.007017,1.735168,0.655417,0.114000
6.313323,1.265313,2.464853,1.703206,0.115000
5.352952,1.086230,1.922434,1.435564,0.114000
4.893761,1.046489,1.850635,0.637791,0.114000
5.241690,1.078735,1.929690,1.178035,0.114000
4.910987,1.012688,1.729387,1.248642,0.113000
4.937213,1.052109,1.867944,0.645364,0.113000
5.246215,1.129820,2.122463,0.389422,0.113000
4.708287,0.995666,1.695503,0.895648,0.114000
4.515067,0.967022,1.617799,0.691541,0.114000
5.542748,1.133703,2.096762,1.174685,0.113000
4.997757,1.027559,1.766268,1.250068,0.114000
4.743145,1.013135,1.751598,0.706119,0.113000
4.643961,0.964235,1.597357,1.141240,0.113000
4.697666,1.002891,1.714231,0.693913,0.114000
5.172095,1.072597,1.893024,1.022692,0.113000
4.609252,0.965145,1.593602,0.957211,0.113000
4.585481,0.957713,1.573415,1.019263,0.113000
4.931441,1.069047,1.938831,0.442518,0.114000
5.768791,1.253377,2.555208,0.227962,0.112000
7.691150,1.525117,3.523577,1.897811,0.112000
4.762767,0.989429,1.652009,1.001838,0.115000
4.911377,1.006485,1.700477,1.259079,0.114000
4.474983,0.941506,1.541568,0.936604,0.115000
